rating,review-title,Comments,Label
5,Such movies at 600 Cr so far.... What are we up to.,"Such a bogus movie at 600 cr. What are we up to? We have Sam bahadur and kadak singh in parallel which not even able to manage 100 cr.Basically people want drugs over ghee is such a true analogy. Sad but truth..
There is only violence and bad story in animal which you can't even ask your family to watch.I am against any boycotting but Indian cinema needs to come out of the 'break the skull with hammer' approach. In fact bollywood is now not able to make their own script or movies so no they are copying South Indian movies.Jawan was good movie but what was there in Tiger3(total waste).We need good movies with stories, acting, songs...",negative
1,Worst ever movie!,"When we make a female lead movie, everyone labels it as a feminist movie. But even then those movies just portray how a woman challenges society and comes forward in life. Society can't accept even that and rates the movie so low. Then what about this nonsense movie. Is this not a misogynist movie. How many movies like this are shown to insult women and objectify them. Why is no one labelling such movies as misogynist when it actually is. Why are we still showing women as objects in such kind of movies. What is it with movies like Kabir Singh and Animal. This movie is so disgusting, it shows how ranbir is in real life. Look at the movies alia chooses and look at the movies this useless fellow chooses. He either chooses a playboy movie or a movie where he objectifies women. Poor alia to be married to such a misogynist.",negative
1,SHAM ON THE ENTIRE CREW,"It is a shame on animals to name this movie after them because they are much well mannered and civilized then this movies characters, Director, producer and specially dialog writer.Shame on Anil Kapoor, Ranbir japoor, Bobby deol to accept to act in this third class movie. I am amazed at the people who gave this movie a good review and can imagine how sick thier mentality could be. Spare your young adults from watching this filth, You'll be uncomfortable even to watch this movie alone!! Shame on Rashmika to accept this movie, I can understand her desperation to work in hindi movies but where is your dignity as a woman??There is height of cheap and vulgar dialogs that too unnecessarily!!! Unnecessary vulgar scanes.I am so amazed at Ranbir kapoor to even agreeing to deliver the dialogs the writer gave him. So so disrespectful towards father and wife.There is not one thing good about this movie, only filthy minds can watch and praise this movie.",negative
1,Worst movie I have ever seen in my life. BOSTAPOCHA!,"I, being a movie lover, have watched a couple thousand movies at this point, ranging from English to Hindi to Korean to German to Tamil to Telegu to Bengali to French. And I can confidently say that ANIMAL is officially the worse movie that I have ever seen in my life. I ama amazed how movies like these end up being a blockbuster that too in 2024. It's a terrible movie full of false male stigma, oversaturatedly glorified manhood and sex. Nobody should watch the movie ever. Such a terrible and shameless director and his rotten movie plot!! Regretting spending 200 minutes of my life on this terrible movie. 0/10.",negative
1,What was this cringe fest? High budget C grade movie. -10/10,"Why has this movie been made. No storyline, lots of gore & embarassment. Who are these people rating this garbage so high. Males will have a harder time with their wives and families watching this movie make a mockery of the word Alpha and generic male population will be verbally bashed as psycho, since this animal here has been portrayed as a hero. And wait, there is no storyline. Incompetent directors bank on unnecessary violence to make money. So go to the theatres to make money for incompetent director/ producer. No self respecting male would go to watch this movie with anyone they know. There should be a provision to counter these paid high rankings with negative rankings. I am not happy with 1.",negative
1,Too long!!,"After the long wait, my friends and I went to the morning show of this movie, and the theater was packed. I was excited to watch it because I liked the trailer, but despite the interesting first half and a great scene before intermission, the entire cast started doing nonsensical things after the break. It seemed like the director instructed them to do anything imaginable to bore the audience until the climax scene, which was somewhat good. Despite the cast's performances, I found this movie extremely skippable. Rashmika was improving, Bobby Deol deserved more screen time, and Ranbir Kapoor's performance deserved a better film. Overall, it's not worth your time. While the background music makes it somewhat watchable, I still recommend skipping it. You might as well go to the zoo and watch a real animal; you'll be done in 1-2 hours, rather than spending more than almost 3 hours and 30 minutes watching this unnecessarily violent, misogynist, low on story cheap adult film with mediocre action and far too many nonsense scenes.",negative
1,Toxic,"I dont think I have felt so enraged after watching a movie. Prominent figures, especially actors in a country where movies have so much impact on the population, should behave with certain social responsibilities. With absolutely no story, and such ill treatment of people (especially women), there is no scope to appreciate any creative angle. Just naming the movie ""Animal"" does not justify validating the excessive misogyny, elitism and narcissism. Also there is a line to where it gets excessive, but that was crossed way back and you still have to sit through the movie which could have ended at intermission.Hating the fact that this movie is getting a good opening and could have a sequel. *puke*",negative
3,An Unrestrained Trashfire.,"If you squint, you can kind of see where Sandeep Venga's Animal is supposed to go. It's a character study about an unhinged man born into privilege but lacking in the most important qualities, obsessed with his father who never showed him the love he needed. He's drawn into a world of violence and crime, in a desperate attempt to impress him. That's an interesting concept; throw in some of the Successionesque business politics, and you could've had an incredible film. The movie certainly has the talented names - Ranbir Kapoor, Anil Kappor, Bobby Deol - to make it work.Yet, Animal fails on basically every level. It feels like the creation of an annoying 14 year old Indian boy than a film, and can only be described as TOO MUCH. This 3 hour and 24 minutes feels like an eternity as we zip from scene to scene, moment to moment, without much time to breathe. Not to mention, the film just feels excessive and it's not entertaining. It's honestly an exhausting affair.TOO MUCH brutality and gore. It's completely unnecessary, off putting, and difficult to watch. We're supposed to like our protagonist (more on him later), yet he's needlessly cruel and violent, like everyone at a certain point in this film. It feels really ""off"" tonally, and comes out of nowhere. The scene where Bobby Deol was introduced started off nicely, but then goes off the rails with the blood and gore, and it ruins it completely. Not to mention the unnecessary...sex scene. Yeah. More on THIS later too.Ranbir Kapoor's Vijay is a psychopath, who is as mentioned before, cruel and violent, but unstable, rude, callous, condescending, misogynistic, and difficult to empathize with. We have to spend a bulk of the film with this man, and the movie is constantly asking us to sympathize and respect him, but he deserves none of it. I like films with ""unlikable"" protagonists, but a film has to give us a reason to connect with them from time to time. I don't want to hear anyone complain about Leo's Jordan Belfort ever again; a guy we know is terrible, but you can't help but like him. Vijay is not that.The film is supposed to be about who is trying to kill Anil Kapoor's Papa (that's not his real name, but it might as well be, and to be fair, he's really good in this), and lead us into some corporate and maybe political intrigue. But the film wastes it with a paper thin, poorly told plot and villain's whose performers give it their all and are compelling via performance, but definitely terribly written. They're two dimensional and their motives feel rushed, and not to mention, the film can't help but be a bit Islamophobic as well. (There's subtext to these Modi era Bollywood movies).But frankly, the worst thing about this movie is its celebration of toxic masculinity and misogyny. I'm no Bechdel Test wielding feminist, but my God, this movie really hates women. They're either doeish sex objects or lack any agency at all. There's a really dark and twisted attitude towards sex and relationships this movie portrays, glorifying domination, fear, and abuse, all whilst desperately trying to convince us the main couple have a happy and successful marriage. Vijay can't help but undermine and demean every other woman he sees, treating them as sexual objects, intimidating them, or insulting them. And what's disturbing is the movie seems to want to paint him as ""the man men want to be, and the man women want to date.""There's legitimately a stretch of this film towards the end where I genuinely worried we'd see explicit violence against women, like some wife slapping or choking or worse, SA or the R word. I'm not joking. I saw this with three women. You can imagine how they felt.Yeah, I'd maybe watch this high and laugh at with friends again, but for anyone else, PLEASE avoid this trashfire.",negative
2,"Overhyped, objectifying woman and Muslims character assassination.","First of all, if they were cousins, why in the world it was shown that cousins were turned Muslims and became like this.Secondly, if the business was distributed evenly, there would have been no enmity.Thirdly, where is police and law enforcement ??????Fourth, can a man fight with 200 persons with an axe ??? Seems funny though.At the end of the film, a person will feel disgusting, it's better to watch a movie like 12th fail or hi pappa (hi nanna) rather than wasting time on such hatred movies like animal or fighterWhat are the directors smoking nowadays ???Is there any logic or sense in this movie.Total waste of time.",negative
1,Wasted my time,"Don't waste your time. Hopeless movie with too much toxic masculinity! Slapping between couples is glamorized. Total nonsense. Ranbir Kapoor's character is clearly full of toxicity. The movie is low on substance and clearly, all the protagonist wants is validation and goes on a killing spree just to prove it. Clearly, Ranbir Kapoor is mentally sick and all is justified in the name of saving the father. Utter nonsense. I don't know who they are copying - Godfather or scarface or Kill Bill. ""Sadly it's a man's world"", Vijay says to his wife in a scene"", need not say more about the inherent sexism.",negative
2,Absolute trash.,"Animal is trash - as a movie. Forget the sexism, misogyny or other social parameters, from the point of view of movie making - it is simply trash. Director Vanga doesn't know how to portray - relied only on cheesy dialogues and useless repetitive fight scenes and illogical violence. Scenes seemed forced - someone trying to force down violence through rice tube.This lack of coherent storytelling not only disengages the viewer but also detracts from any profound commentary the film aspires to make about the human condition.Vangha's directorial approach is lamentably misguided, showcasing a stark inability to navigate the complex terrain of human psychology with any semblance of subtlety or depth.The characters are nothing more than hollow caricatures, trapped in a cycle of repetitive and senseless brutality that serves no narrative purpose other than to shock and repulse. This incessant glorification of violence comes off as a desperate grasp for edginess, stripping the film of any potential for genuine emotional resonance or intellectual engagement.",negative
1,Boring,"Everyone told me that the action is great!I watched the movie and I was just sitting waiting for the actions.Actions may have been mounted to extra and bloody, but that movie is annoying.It's plain boring. There's no story, just a stubborn guy who has a mental problem roaming around doing what he wants. And turns out that guy is the protagonist of the film.It is so weird how people are celebrating such madness. Some people are actually laughing to nonsense jokes in the movie.Turns out not all people like it. Tons of people hate the movie too.Waste of time. Forget about whether things are toxic or not, the movie is pure boredomness.",negative
1,Toxic gore,"I dont think I have felt so disturbed after watching a movie. Prominent figures, especially actors in a country where movies have so much impact on the population, should behave with certain social responsibilities. With absolutely no story, and such ill treatment of people (especially women), there is no scope to appreciate any creative angle. Just naming the movie ""Animal"" does not justify validating the excessive misogyny, elitism and narcissism. Also there is a line to where it gets excessive, but that was crossed way back and you still have to sit through the movie which could have ended at intermission.Hating the fact that this movie is getting a good opening and could have a sequel. *puke*
I don't understand who are these people rating the movie so highly, or are they trying appease one and other! Someone has to be real psycho to appreciate a movie of this gore or there is scope to buy ratings, they audience will lose faith in ratings.",negative
3,Animal without teeth,"All bark and no bite. That's the point of the movie Animal in 5 words. When you sit down in the theatre to experience the much hyped, one of best movies of 2023 and receive randomized, unnecessary scenes in the name of extravagant cinema, you feel let down and cheated.Sure, there's a lot of action, violence, gore, anger that people may not have seen before in a state side movie. But if it doesn't relate to the story, the characters of the movie and most importantly the emotions of the film, it feels like you have been cheated out of 3hrs 21mins of your precious time and money. So behold, something you dont understand, you dont like and yet, you will spend money on it. Sad and shameful. The only saving grace of the movie is Bobby deol.",negative
1,Distarous & Boring,"I wish I could give minus 10 for this disaster movie ! In Short this movie is a 1972 classic Godfather wannabe but in Desi chapri style targeted for uneducated Indians, for real if you have a good taste & you have watched decent Hollywood Action flicks you will feel like torture watching this tedious 3 hr long movie. Even recent Bollywood actions like War & Tiger 3 are way better that this garbage,I have no clue how this movie became blockbuster. There is no story no good action no depth & no character development by any of the actors , Anil Kapoor was the only one watchable beside him there is no one worthy. Good luck.",negative
1,Atrocious Disaster,"This movie is such an atrocious movie. The poorest of the scripts in recent years. Ranbir Kapoor is definitely an over hyped actor. Unnecessary the movie has been exaggerated for so long. Ranbir Kapoor looks weird in macho in fight seen. He definitely is not meant for these kind of such scenes. A time when movies of 2 hours seem to be too long without a good script, this movie is a torture for three hours 20 minutes. This fiction has miserably failed to create a positive impression and convey any message to the society. Ranbir looks psycho is his character and so in his acting, too many unnecessary characters in the movie has made it a big failure.",negative
1,Horrendous,"This is the worst movie ever made. The idea was to gather as much nonsense as possible and just throw it in a pot. After eating the abomination that's been cooked, just release it from the rear end. And then feed what comes out to the less than intelligent people who were suckered into watching this garbage in its entirety. How this movie was produced and who in their right mind agreed to finance this trash needs to have a thorough mental examination. Then have them all instituted and made to watch this movie on a loop in their confinement. It's just as painful to write this review as it must've been for the people who saw this movie.",negative
7,This Animal is exceptionally brilliant but needs a team of psychologists to cure him,"This is surely one of the best movies that bollywood has produced in the last 10 years in terms of entertainment. All things from storyline to music and from action scenes to quality of acting are brilliantly planned and executed. Even though the running time of the movie is almost 3.5 hours you actually don't feel its length.RK has really nailed it this time. This performance can be surely counted as one of his very best in terms of quality of acting. As much as I want to say the same thing for Rashmika, the element of common sense is simply not allowing me. Firstly, the quality of acting displayed by her is disappointing compared to her previous performances. And further I am still not able to understand why someone like her accepted the movie after reading the script.(may be due to RK). The character she plays feels like a clown in the movie.The adult scenes in the movie were forcefully forced into the script and felt very unnatural. The first half of the movie is the most striking and impressive aspect, but sadly it starts to lose momentum every minute in the second half. Unnecessary and untimely placement of songs further declines the experience. The movie deviates from its original plot & theme several times which can be frustrating. Another frustrating part is that several dialogues in English and punjabi language are said so fast that 90% of audience fails to digest them. Lack of twists and turns makes it boring at times. Boby deols screen time is not more than 25 minutes, and that too without a single dialouge, which is again disappointing and surprising because the trailer of the movie makes him look like one of the leads.But all things said, we cannot deny the fact that it is something very fresh and unique, which the audience will love. One of the most aesthetically appealing & enjoyable movie from Bollywood in long time. The message it delivers between a father and son is very beautiful and climax makes up for all the faults it has.Purely a theatre movie will not be that satisfying if witnessed on mobile or laptop.",positive
1,Overall waste of time,"I watched the movie on Netflix and not in a movie theatre, so thankful that I didn't waste the money on the tickets. I could watch for some time, probably the first hour, it was difficult to keep going after that. Acting is good but the story line is so poor. I also happened to watch one of the interviews of the director where he mentions that it's okay to slap and use cuss words in a relationship and felt that he has some seriously sick ideas and a misogynistic point of view. If people with such ideas make movies, they will always end up glorifying incorrect behaviour in their movies and eventually have a bad influence on the society. It's not that you always have to show the positive side. You do need to show negative side too, but only when needed and it should be portrayed in the right way and shouldn't be glorified.",negative
8,Absolute wild animal,"Man. Ranbeer kapoor, and his pind brothers, what a lit and elite squad. Absolutely run havon in the city.Vanga simply says it bluntly on everyones face, i will dare to do what i want and show what i want and he has done that.Vangas vision is completely fulfilled by ranbeer and all other actors. Movie becomes little boring in 2nd half. But the finale is good. It is about the real man to man fight.Am still in awe of ranbeers role. This is his best acting till date. Kudos to all. Rashmika did grt in her part as well as anil kapoor. Bobby has also done good. This is a must watch theater exprnc.",positive
1,C grade movie,"Ranbir Kapoor had to be pretty desperate to sign up for such a B-grade script. This is like the old B-grade Mithun movies -- revenge storyline, plenty of violence and women being shown their ""proper"" place. Merely tagging on a father-son conflict, adding some raw dialogs and getting an A-lister to play the protagonist does not elevate a movie from B-grade to A-grade. Of course, people with a certain mentality enjoy this kind of stuff -- no doubt it will mint obscene money.Some of the reviewers here are saying it is pathbreaking etc -- pathbreaking for what? For making B-grade mainstream? About Ranbir's acting: nothing great.. over acting and over shouting.. (Ahem as befits a B-grade movie). Also beats me why a talented actress like Tripti would agree to be a part of such a regressive movie.",negative
10,The craziest and the most badass Indian movie,"Animal- The craziest and the most badass Indian movie that will ever be experienced by the audience on the screen so far since 110 years. Definitely falls under ""The Cult"" category.The boldest director Sandeep Vanga Reddy takes us through the journey of a Son's possessiveness towards his Dad to the volcanic extreme, that he is just replacing love with vengeance, peace with war, gentleness with rage and saneness with madness.Most of the scenes are original and never seen before.Ranbir Kapoor stuns you with the most complex character, and your jaw will be dropped with shock and awe for his mind boggling acting along with various emotions stampede. He just tears open the cinema screen with his brilliance and ease, as he transforms from a raging teenager to animal man, and there is no stopping even with a meteor.This marks him as the best actor of Indian cinema with a launchpad to reach the elites.Having to match him is no easy feat but Rashmika Mandanna does it elegantly with stubbornness and guts.Anil Kapoor is a class apart with his stature and maturity.Bobby Deol is back with a bang. He delivers his career best performance although his screen presence is very short (a bit disappointing).The story is uniquely presented with full heart and woven really well with astounding screenplay and terrific music.Strictly for 18+ years. The alpha man kicks in, with no good social message. Pure violence, rampage and massacre in parts.Wish some uncomfortable scenes were edited, and also movie duration trimmed (first part of second half) as its 3 hours 22 mins long.Animal movie cracks open the movie industry with the boldness and crookedness, and roars loud.Watch at your own risk!",positive
1,Yuck! Waahiyaat movie!,"I really wonder , how this film claims to b superhit . I have also now understood that if producer / distributor/director / hero decides than public can be made to believe that the film is a super super hit .And that is what has happened with Animal . Plot is third class even picturisation is hopeless. Rashmika mandana is disappointing . Too much of violence . I read somewhere that Shabana Azmi refused to watch this movie .I fully support people like her . Unnecessary violence , Vulgar dialogues , poor storyline can never make a good movie other than disaster. Really disgusting . Hopeless .third rate.",negative
1,Movie by a Sexually frustrated Tegulu Direct Sandeep Vanga,"3rd class movie with unbearable 3:30 hours running time.dont know why Ranbir even accepted that Cringe script. Sanderp Vanga Reddy a script chor did nothing but directly copied the scenes from 4 Hollywood movies named God father, old boy,No country for old men. I personally think that Telugu Cinema in itself is a crapp, 2-3 good movies just raised its scale otherwise its no near to Even Tamil Malyalam Cinema.3rd class movie with unbearable 3:30 hours running time.dont know why Ranbir even accepted that Cringe script. Sanderp Vanga Reddy a script chor did nothing but directly copied the scenes from 4 Hollywood movies named God father, old boy,No country for old men. I personally think that Telugu Cinema in itself is a crapp, 2-3 good movies just raised its scale otherwise its no near to Even Tamil Malyalam Cinema.",negative
9,Sandeep literally challenged the status quo and won over,"Simply put it's a masterpiece !The Director literally put his heart in this one, the complex relationship of Father and Son explained in a such a manner. I don't feel anyone ever dared to take such a step in Indian cinema. I literally enjoyed every minute of the movie it felt so realistic at times. Ranbir finally gave a great performance after Sanju!I mean just look at the facts Sandeep made 200+mins movie which means fewer shows plus he made it adult for it to be raw and as real as possible both these things require guts everyone told me to cut the movie down and make it U/A but I am so glad he didn't.Indian cinema these days have become very typical, like at times being a movie lover I find it difficult to understand that why are our writers and directors not being creative or trying something new/ different/ interesting.But finally we are seeing creative movies and trust me the background score, Acting, music, costumes everything was just wow !And I know there will be people who might find this movie too bold, too strong, lengthy and violent. I don't oppose to such things I just feel we should appreciate that atleast someone tried to break the status quo and make such a bold movie.",positive
1,Insanely Bad Movie,"What a disastrous movie, this movie isn't suited for our Indian culture and traditions! Extreme and exceeded adult content with bed and lots of lip lock scenes, also filled with lust and double meaning dialogues.! These kind of movies affect the youth and masses a lot and leads to commit crimes, i feel shame for having this kind of psycho directors in my telugu state, who don't respect our culture and never think of the youth and effect of these kind of movies on the society..He has done his film course in Australia as he told in a show but, he shouldn't rub his insanity on our people! He might fit for foreign movies but not for Indian cinema, i don't know how the sensor board allowed such nasty and vulgar scenes with offensive dialogues!? May be they bribed them, anything can possible in India with money thats our fate..I felt ashamed while watching alone whenever the lead characters think of sex and starts a conversation and do so, as two unknown young girls were sat next to me in theatre.. Many couples and youngsters has come to watch the movie may be by thinking that this is an action and drama movie, you can't watch this movie with your any family member..Now a days some of the directors are going beyond the limits for the attention of the youth and masses to make money by leaving the ethics and values.. If there were no adult content and unnecessary scenes and kisses, this movie would have been a blockbuster..!Don't spoil the young, future generations and also our culture, traditions for the sake of money...",negative
1,Wahiyat Overrated slow lengthy Cringe,"Seriously I hate to all those people who are hyping this overrated movie over social media there is nothing special in this movie .this should have been a web series but they put into a movies which is very slow ,lengthy and over dramatic action sequence... Where actor is fighting with 200 people and their friends singing in group to cheer him up. So many unnecessary scene has been added with a very lengthy,slow and boring conversations.This movie could have ended in 2 hour but they extended with 3 hours 27 minutes unnecessary one and half hour the added I don't know why what was in their mind it wasn't needed... I was getting really bored boil watching in theatre.I am really pissed that people over social media are hyping these movie don't know why does nothing in this movie I was hoping to end to get the hell out from the theatre I got so much bored... This is first time in my life that I watched a very boring and bad film in the theatre this is the worst experience in my life never had watched this kind of movie in theatre....
This will be the only movie which I will regret forever to watch in a theatre....",negative
1,Rubbish film,"Poor story telling. Anti Muslim rhetoric. Anti common sense rhetoric. Fighting made no sense. Plot made no sense. Godfather wannabe rubbish. Whoever made this film should do some serious introspection. Utter garbage of a film. I wouldn't recommend to anyone. Not a sintella of common sense. The WHY of Ranbir kapoor was so weak. The guy had father issues. Lol. Every other kid has father issues, they don't turn into a psycho. Bruh. His father was mean to him so he developed super strength and a really strong will. No character arc. Absolute garbage. If I were in any part involved in the making of this film. I'd mostly do some serious self reflection and possibly consider a career change.",negative
7,A FATHER SON TALE CARVED IN BLOOD,"Ranbir Kapoor's introduction as a ""superstar"" in the film initially raised skepticism for me. However, as I reached the halfway point, it became evident that he truly deserved the title.Sandeep Reddy Vanga's promise to showcase genuine violence in cinema was effectively fulfilled. In an era dominated by high-budget action films and contrived flashbacks, Vanga dared to create a world where everything is heightened to the maximum, making the violence seem normal and the behavior even more unsettling. One particularly striking scene involves Ranbir, who, after discovering a mole, compels the individual to lick his shoe as a bizarre demonstration of love. It's a level of intensity reminiscent of something Quentin Tarantino might appreciate.Addressing the question of logic, it's acknowledged that the film, like many others, is inherently illogical. Drawing parallels with films like Vikram, KGF, and Bahubali, it's recognized that crafting a movie with absolute logical coherence is a formidable challenge.However, the film does have its drawbacks. The character arcs of certain individuals, such as the mother, sister, and villain, felt underdeveloped. The hero's revenge arc could have benefited from more nuanced writing, and Rashmika's character, while an improvement from Vanga's previous works, still warranted additional depth.In summary, while I wouldn't classify it as a masterpiece, the film has its merits, particularly in exploring the dynamics of father-son and husband-wife relationships alongside the intense action sequences. It's a unique cinematic experience that some may appreciate for its visceral yet somewhat polarizing elements.",positive
6,Worth one time watch but not for weak hearted and feminists,"Acting, cinematography, violence, rawness, brutality everything is fine....But the story logic doesn't work for me at all....What's the point of the movie that the director wanted to make!!!??Why would a son have so much love for his father for whom he can destroy the entire world but his father treats him with no care, doesn't give any time....yet for him he is the best father in the world.....not possible in reality....And it's too much hero-oriented film..... everything happens with no reason but bcoz hero wants it.....you don't have any connection with your kins for 20 years and all of a sudden ranbir went to ask for help to them as bodyguards and they agree giving up all their jobs... isn't that ridiculous....I can't connect with the attitude and point director tried to make with the movie.",negative
1,Why God? Why?,"I have wasted 2 hours of my life trying to watch this movie but couldn't complete it. Utter nonsense, no practical thoughts, people singing before starting a fight, one man fighting with 120 people alone and winning, father of all regular idiotic staffs observed in South movies. The Director should be immediately banned from making these weird movies like Arjun Reddy, Kabir Singh, Animal. What a waste of money and resources every time he makes movies ! Why is he even allowed to direct movies in the first place? Doesn't he get tired of making these stereotype nonsense egoistic sadistic and time wasting movies?",negative
1,Garbage wrapped in silver,"I fell into the trap of the good reviews, and wasted 4 hrs of my life. If you're reading this, save yourself.Although, Anil Kapoor and Bonny Deol bring their charms to the screen but sadly all wasted. The typical garbage story line of bollywood cash mill overshadowed everything. The movie tried to be too much, but left the essentials ie. The damn story, realism, and a cohesive plot.I can't list down all the character flaws in the Ranbir's role (although I did like his acting - just that this specific character wasn't worth it), but that's what all the movie is about. Incidentally, the writers didn't realise that they basically made the character clinically insane, but tried to add bolywood romanticism to it to no avail...My sincere recommendation is to save your time and watch 2 old classics in the same time.",negative
